Date,Open,High,Low,Close,Vol
2024-02-08,19.77,22.66,17.80,21.23,24937378
2024-02-19,20.38,20.83,19.72,20.67,18426821
2024-02-20,20.45,20.55,19.86,20.34,13264340
2024-02-21,20.03,22.77,19.91,21.38,19254472
2024-02-22,20.70,21.27,20.55,20.80,13045527
2024-02-23,21.00,21.10,20.25,20.52,11074472
2024-02-26,20.50,21.98,20.30,21.02,15084188
2024-02-27,20.70,21.93,20.55,21.91,14454104
2024-02-28,22.18,23.02,20.45,20.45,16802287
2024-02-29,19.82,21.16,19.76,20.95,11153813
2024-03-01,20.89,21.12,20.35,20.58,8783130
2024-03-04,20.66,20.68,19.99,20.20,5915331
2024-03-05,20.00,20.36,19.81,19.86,6163729
2024-03-06,19.93,20.30,19.86,20.05,5135564
2024-03-07,20.11,20.52,19.95,20.09,5730290
2024-03-08,20.13,20.19,19.85,20.06,3599864
2024-03-11,19.98,20.12,19.88,20.11,4007012
2024-03-12,20.10,20.43,20.09,20.28,4057439
2024-03-13,20.29,20.42,20.16,20.18,3957794
2024-03-14,20.08,20.15,19.12,19.30,6473516
2024-03-15,19.21,19.40,19.07,19.36,2830134
2024-03-18,19.51,19.60,19.42,19.60,2816354
2024-03-19,19.66,19.69,19.40,19.40,2293670
2024-03-20,19.41,19.53,19.31,19.44,1943003
2024-03-21,19.38,19.60,19.35,19.53,2398101
2024-03-22,19.55,19.70,19.39,19.40,3207828
2024-03-25,19.39,19.39,18.39,18.41,4292136
2024-03-26,18.42,18.66,17.93,18.19,2732067
2024-03-27,18.19,18.19,17.36,17.36,3095162
2024-03-28,17.36,17.83,17.33,17.52,2302440
2024-03-29,17.45,17.68,17.27,17.56,2104108
2024-04-01,17.72,17.89,17.61,17.85,2116031
2024-04-02,17.90,17.91,17.60,17.65,1584641
2024-04-03,17.71,18.20,17.33,18.06,3973845
2024-04-08,17.81,17.99,17.62,17.64,2238979
2024-04-09,17.72,17.90,17.46,17.88,1874729
2024-04-10,17.83,17.84,17.27,17.34,2166829
2024-04-11,17.26,17.64,17.22,17.32,1701180
2024-04-12,17.38,17.62,17.31,17.43,2056463
2024-04-15,17.53,17.80,17.30,17.45,2188305
2024-04-16,17.43,17.43,15.69,15.75,3525169
2024-04-17,16.01,16.68,16.01,16.60,2839333
2024-04-18,16.58,16.84,16.38,16.62,1970996
2024-04-19,16.51,16.64,16.25,16.31,1577753
2024-04-22,16.30,16.60,15.88,16.45,1522303
2024-04-23,16.31,16.53,16.20,16.39,1079341
2024-04-24,16.41,16.60,16.27,16.58,1356473
2024-04-25,16.58,16.67,16.26,16.27,1855687
2024-04-26,16.02,16.47,15.80,16.41,2565841
2024-04-29,16.40,16.82,16.33,16.76,2801315
2024-04-30,16.68,16.77,16.29,16.29,1985938
2024-05-06,16.45,16.74,16.45,16.66,2076139
2024-05-07,16.64,16.84,16.64,16.77,1559057
2024-05-08,16.83,16.83,16.52,16.53,1461745
2024-05-09,16.50,16.98,16.50,16.89,2422011
2024-05-10,16.81,16.96,16.47,16.54,2133712
2024-05-13,16.49,16.50,16.08,16.09,1979846
2024-05-14,16.10,16.37,16.10,16.23,1104076
2024-05-15,16.26,16.67,16.05,16.20,1555553
2024-05-16,16.28,16.30,16.10,16.13,1351847
2024-05-17,16.07,16.39,16.02,16.39,1626255
2024-05-20,16.39,16.56,16.31,16.45,1459053
2024-05-21,16.40,16.57,16.33,16.51,1443269
2024-05-22,16.50,16.86,16.48,16.78,2318077
2024-05-23,16.79,17.08,16.59,16.68,3121663
2024-05-24,16.94,17.08,16.31,16.31,3111221
2024-05-27,16.20,16.55,16.05,16.52,1922124
2024-05-28,16.51,16.93,16.40,16.54,2459607
