Date,Open,High,Low,Close,Vol
2011-10-28,22.01,25.60,22.00,25.08,19053354
2011-10-31,23.99,25.30,23.30,24.39,14090798
2011-11-01,23.59,26.38,23.45,25.20,13181213
2011-11-02,24.25,25.73,23.94,25.66,9019179
2011-11-03,26.00,26.30,24.33,24.37,9845470
2011-11-04,24.55,25.50,24.13,24.56,7729435
2011-11-07,24.20,24.69,23.25,24.28,6244207
2011-11-08,24.08,25.10,23.93,24.71,6468040
2011-11-09,24.64,25.46,24.33,25.17,6964154
2011-11-10,24.80,25.35,24.56,25.19,5886519
2011-11-11,25.97,26.48,25.16,25.28,9370931
2011-11-14,25.20,26.25,25.12,25.75,7403550
2011-11-15,25.81,26.17,25.00,25.29,5951283
2011-11-16,25.29,25.45,24.30,24.55,4548549
2011-11-17,24.60,24.98,24.20,24.62,3121388
2011-11-18,24.30,24.78,24.26,24.38,2706282
2011-11-21,24.38,24.63,24.03,24.63,2508075
2011-11-22,24.60,27.09,24.50,26.40,12320470
2011-11-23,26.00,26.50,25.71,26.16,6831748
2011-11-24,25.87,27.28,25.68,26.43,7791729
2011-11-25,26.00,26.24,25.10,25.25,5416508
2011-11-28,25.02,25.24,23.38,23.45,5821442
2011-11-29,23.80,23.82,23.25,23.64,3041235
2011-11-30,23.57,23.85,21.60,22.05,4465860
2011-12-01,22.70,23.05,22.29,22.41,3582461
2011-12-02,22.11,22.29,21.20,21.35,2986177
2011-12-05,21.35,21.76,21.21,21.65,2457277
2011-12-06,21.13,22.32,21.13,22.22,3118984
2011-12-07,22.16,22.84,21.82,22.66,3715878
2011-12-08,22.33,23.07,21.51,22.33,3806419
2011-12-09,21.89,22.86,21.58,22.38,3490060
2011-12-12,22.30,22.95,21.36,21.38,3523418
2011-12-13,21.40,21.78,19.88,19.88,2969913
2011-12-14,19.71,19.71,18.40,18.48,2726636
2011-12-15,18.00,18.65,17.81,17.88,1543667
2011-12-16,17.98,18.49,17.13,18.47,2096453
2011-12-19,18.00,18.25,17.29,18.06,2029171
2011-12-20,17.81,18.49,17.79,18.12,2638595
2011-12-21,18.28,18.33,16.31,16.31,2566259
2011-12-22,15.81,15.98,14.86,15.34,2835410
2011-12-23,15.34,15.78,15.10,15.43,1891746
2011-12-26,15.39,15.60,14.67,14.67,1818290
2011-12-27,14.51,15.40,14.51,14.86,2745140
2011-12-28,14.63,15.62,14.14,15.45,2807686
2011-12-29,15.29,16.20,15.20,15.60,3701644
2011-12-30,15.50,16.38,15.45,16.10,3110938
2012-01-04,16.11,16.17,14.49,14.49,2769421
2012-01-05,13.91,14.39,13.05,13.40,3091503
2012-01-06,13.38,13.98,12.82,13.75,2348549
2012-01-09,13.62,14.46,13.30,14.36,2566344
2012-01-10,14.30,15.06,14.11,14.95,3228253
2012-01-11,14.77,15.14,14.60,14.73,2661721
2012-01-13,14.68,14.68,13.47,13.58,2645066
2012-01-16,13.34,13.60,13.00,13.02,1165375
2012-01-17,12.96,14.06,12.91,13.95,1634248
2012-01-18,13.89,14.65,13.50,13.60,2148222
2012-01-19,13.54,13.75,13.00,13.67,1659309
2012-01-20,13.67,14.21,13.55,13.94,1970802
2012-01-30,14.09,14.49,13.82,14.13,3384235
2012-01-31,14.21,14.78,14.05,14.75,4121340
2012-02-01,14.55,14.84,14.23,14.32,3826084
2012-02-02,14.38,14.56,14.07,14.56,2089318
2012-02-03,14.51,15.05,14.38,14.99,3952782
2012-02-06,15.10,15.55,15.06,15.45,4522582
2012-02-07,15.20,15.28,14.60,14.82,2679048
2012-02-08,14.61,15.28,14.61,15.20,2724308
2012-02-09,15.20,15.65,15.16,15.26,2992974
2012-02-10,15.29,15.38,14.93,15.07,3170227
2012-02-13,14.95,15.53,14.83,15.44,3142546
2012-02-14,15.40,15.46,15.03,15.18,2651417
2012-02-15,15.26,15.75,15.18,15.65,4974818
2012-02-16,15.60,15.75,15.35,15.50,3039984
2012-02-17,15.56,16.10,15.25,16.02,4643320
